"id","code","name","reconcile","account_type",parent_id/id
ecpuc,PUC,PLAN UNICO DE CUENTAS,FALSE,view,""
ec1,1,ACTIVO,FALSE,view,ecpuc
ec101,1.01.,ACTIVO CORRIENTE,FALSE,view,ec1
ec10101,1.01.01.,EFECTIVO Y EQUIVALENTES AL EFECTIVO,FALSE,view,ec101
ec1010101,1.01.01.01.,CAJA,FALSE,view,ec10101
ec101010101,1.01.01.01.01,CAJA GENERAL,FALSE,asset_cash,ec1010101
ec101010102,1.01.01.01.02,CAJA CHICA,FALSE,asset_cash,ec1010101
ec101010103,1.01.01.01.03,CAJA PRUEBA,FALSE,asset_cash,ec1010101
ec101010105,1.01.01.01.05,RECIBOS PENDIENTES GENERAL,FALSE,asset_current,ec1010101
ec101010106,1.01.01.01.06,PAGOS PENDIENTES GENERAL,FALSE,asset_current,ec1010101
ec101010107,1.01.01.01.07,RECIBOS PENDIENTES CHICA,FALSE,asset_current,ec1010101
ec101010108,1.01.01.01.08,PAGOS PENDIENTES CHICA,FALSE,asset_current,ec1010101
ec101010110,1.01.01.01.10,TANSFERENCIA DE CAJA A CAJA,FALSE,asset_current,ec1010101
ec1010102,1.01.01.02.,BANCOS,FALSE,view,ec10101
ec101010201,1.01.01.02.01,BANCOS 1,FALSE,asset_cash,ec1010102
ec101010202,1.01.01.02.02,BANCO 2,FALSE,asset_cash,ec1010102
ec101010208,1.01.01.02.08,RECIBOS PENDIENTES BANCOS,FALSE,asset_current,ec1010102
ec101010209,1.01.01.02.09,PAGOS PENDIENTES BANCOS,FALSE,asset_current,ec1010102
ec101010210,1.01.01.02.10,TRANSFERENCIA BANCO A BANCO,FALSE,asset_current,ec1010102
ec10102,1.01.02.,ACTIVOS FINANCIEROS,FALSE,view,ec101
ec1010201,1.01.02.01.,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,FALSE,view,ec10102
ec101020101,1.01.02.01.01,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,FALSE,asset_current,ec1010201
ec1010202,1.01.02.02.,ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA,FALSE,view,ec10102
ec101020201,1.01.02.02.01,ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA,FALSE,asset_current,ec1010202
ec1010203,1.01.02.03.,ACTIVOS FINANCIEROS MANTENIDOS HASTA EL VENCIMIENTO,FALSE,view,ec10102
ec101020301,1.01.02.03.01,ACTIVOS FINANCIEROS MANTENIDOS HASTA EL VENCIMIENTO,FALSE,asset_current,ec1010203
ec1010204,1.01.02.04.,PROVISION POR DETERIORO DE INSTRUMENTOS FINANCIEROS,FALSE,view,ec10102
ec101020401,1.01.02.04.01,PROVISION POR DETERIORO DE INSTRUMENTOS FINANCIEROS,FALSE,asset_current,ec1010204
ec1010205,1.01.02.05.,DOCUMENTOS Y CUENTAS POR COBRAR CLIENTES NO RELACIONADOS,FALSE,view,ec10102
ec101020501,1.01.02.05.01,DOCUMENTOS Y CUENTAS POR COBRAR CLIENTES NO RELACIONADOS,TRUE,asset_receivable,ec1010205
ec101020502,1.01.02.05.02,CUENTAS POR COBRAR SUCURSALES PUNTO DE VENTA,TRUE,asset_receivable,ec1010205
ec1010206,1.01.02.06.,DOCUMENTOS Y CUENTAS POR COBRAR CLIENTES RELACIONADOS,FALSE,view,ec10102
ec101020601,1.01.02.06.01,DOCUMENTOS Y CUENTAS POR COBRAR CLIENTES RELACIONADOS,FALSE,asset_current,ec1010206
ec1010207,1.01.02.07.,OTRAS CUENTAS POR COBRAR RELACIONADAS,FALSE,view,ec10102
ec101020701,1.01.02.07.01,OTRAS CUENTAS POR COBRAR RELACIONADAS,TRUE,asset_receivable,ec1010207
ec1010208,1.01.02.08.,OTRAS CUENTAS POR COBRAR,FALSE,view,ec10102
ec101020801,1.01.02.08.01,OTRAS CUENTAS POR COBRAR ANTICIPO EMPLEADO,TRUE,asset_receivable,ec1010208
ec101020802,1.01.02.08.02,OTRAS CUENTAS POR COBRAR PRESTAMO EMPLEADOS,TRUE,asset_receivable,ec1010208
ec101020803,1.01.02.08.03,DEVOLUNCIONES RETENCIONES CLIENTES ATRAZADAS,TRUE,asset_receivable,ec1010208
ec1010209,1.01.02.09.,PROVISIÓN CUENTAS INCOBRABLES,FALSE,view,ec1010208
ec101020901,1.01.02.09.01,PROVISIÓN CUENTAS INCOBRABLES,FALSE,asset_non_current,ec1010209
ec10103,1.01.03.,INVENTARIOS,FALSE,view,ec101
ec1010301,1.01.03.01.,INVENTARIOS DE MATERIA PRIMA,FALSE,view,ec10103
ec101030101,1.01.03.01.01,INVENTARIOS DE MATERIA PRIMA,FALSE,asset_current,ec1010301
ec1010302,1.01.03.02.,INVENTARIOS DE PRODUCTOS EN PROCESO,FALSE,view,ec10103
ec101030201,1.01.03.02.01,INVENTARIOS DE PRODUCTOS EN PROCESO,FALSE,asset_current,ec1010302
ec1010303,1.01.03.03.,INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN EL PROCESO DE PRODUCCION,FALSE,view,ec10103
ec101030301,1.01.03.03.01,INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN EL PROCESO DE PRODUCCION,FALSE,asset_current,ec1010303
ec1010304,1.01.03.04.,INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN LA PRESTACION DEL SERVICIO,FALSE,view,ec10103
ec101030401,1.01.03.04.01,INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN LA PRESTACION DEL SERVICIO,FALSE,asset_current,ec1010304
ec1010305,1.01.03.05.,INVENTARIOS DE PROD. TERM. Y MERCAD. EN ALMACÉN - PRODUCIDO POR LA COMPAÑÍA,FALSE,view,ec10103
ec101030501,1.01.03.05.01,INVENTARIOS DE PROD. TERM. Y MERCAD. EN ALMACÉN - PRODUCIDO POR LA COMPAÑÍA,FALSE,asset_current,ec1010305
ec1010306,1.01.03.06.,INVENTARIOS DE PROD. TERM. Y MERCAD. EN ALMACÉN - COMPRADO A TERCEROS,FALSE,view,ec10103
ec101030601,1.01.03.06.01,INVENTARIOS DE PROD. TERM. Y MERCAD. EN ALMACÉN - COMPRADO A TERCEROS 12%,FALSE,asset_current,ec1010306
ec101030602,1.01.03.06.02,INVENTARIOS DE PROD. TERM. Y MERCAD. EN ALMACÉN - COMPRADO A TERCEROS 0%,FALSE,asset_current,ec1010306
ec101030603,1.01.03.06.03,INVENTARIOS DE PROD. TERM. Y MERCAD. EN ALMACÉN - COMPRADO A DE TERCEROS,FALSE,asset_current,ec1010306
ec1010307,1.01.03.07.,MERCADERÍAS EN TRÁNSITO,FALSE,view,ec1010306
ec101030701,1.01.03.07.01,MERCADERÍAS EN TRÁNSITO,FALSE,asset_current,ec1010307
ec1010308,1.01.03.08.,OBRAS EN CONSTRUCCION,FALSE,view,ec10103
ec101030801,1.01.03.08.01,OBRAS EN CONSTRUCCION,FALSE,asset_current,ec1010308
ec1010309,1.01.03.09.,"INVENTARIOS REPUESTOS, HERRAMIENTAS Y ACCESORIOS",FALSE,view,ec10103
ec101030901,1.01.03.09.01,"INVENTARIOS REPUESTOS, HERRAMIENTAS Y ACCESORIOS",FALSE,asset_current,ec1010309
ec1010310,1.01.03.10.,OTROS INVENTARIOS,FALSE,view,ec10103
ec101031001,1.01.03.10.01,OTROS INVENTARIOS,FALSE,asset_current,ec1010310
ec1010311,1.01.03.11.,PROVISIÓN DE INVENTARIOS POR VALOR NETO DE REALIZACIÓN,FALSE,view,ec10103
ec101031101,1.01.03.11.01,PROVISIÓN DE INVENTARIOS POR VALOR NETO DE REALIZACIÓN,FALSE,asset_current,ec1010311
ec1010312,1.01.03.12.,PROVISIÓN DE INVENTARIOS POR DETERIORO,FALSE,view,ec10103
ec101031201,1.01.03.12.01,PROVISIÓN DE INVENTARIOS POR DETERIORO,FALSE,asset_current,ec1010312
ec10104,1.01.04.,SERVICIOS Y OTROS PAGOS ANTICIPADOS,FALSE,view,ec101
ec1010401,1.01.04.01.,SEGUROS PAGADOS POR ANTICIPADO,FALSE,view,ec10104
ec101040101,1.01.04.01.01,SEGUROS PAGADOS POR ANTICIPADO,TRUE,asset_prepayments,ec1010401
ec1010402,1.01.04.02.,ARRIENDOS PAGADOS POR ANTICIPADO,FALSE,view,ec10104
ec101040201,1.01.04.02.01,ARRIENDOS PAGADOS POR ANTICIPADO,TRUE,asset_prepayments,ec1010402
ec1010403,1.01.04.03.,ANTICIPOS A PROVEEDORES,FALSE,view,ec10104
ec101040301,1.01.04.03.01,ANTICIPOS A PROVEEDORES,TRUE,asset_prepayments,ec1010403
ec1010404,1.01.04.04.,OTROS ANTICIPOS ENTREGADOS,FALSE,view,ec10104
ec_other_downpayments,1.01.04.04.01,OTROS ANTICIPOS ENTREGADOS,TRUE,asset_prepayments,ec1010404
ec1010405,1.01.04.05.,IMPORTACIONES,FALSE,view,ec10104
ec_clearance,1.01.04.05.01,IMPORTACIONES EN TRANSITO,FALSE,expense,ec1010405
ec101040402,1.01.04.04.02,ANTICIPO EMPLEADOS,TRUE,asset_receivable,ec1010404
ec10105,1.01.05.,ACTIVOS POR IMPUESTOS CORRIENTES,FALSE,view,ec101
ec1010501,1.01.05.01.,CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA (IVA),FALSE,view,ec10105
ec101050101,1.01.05.01.01,CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA (IVA),FALSE,asset_current,ec1010501
ec_purchase_vat,1.01.05.01.02,IVA PAGADO EN COMPRAS LOCALES,FALSE,asset_current,ec1010501
ec_purchase_vat_assets,1.01.05.01.03,IVA PAGADO EN COMPRAS LOCALES DE ACTIVOS FIJOS,FALSE,asset_current,ec1010501
ec_purchase_vat_service_imports,1.01.05.01.04,IVA PAGADO EN IMPORTACION DE SERVICIOS,FALSE,asset_current,ec1010501
ec_purchase_vat_goods_imports,1.01.05.01.05,IVA PAGADO EN IMPORTACION DE BIENES,FALSE,asset_current,ec1010501
ec_purchase_vat_assets_imports,1.01.05.01.06,IVA PAGADO EN IMPORTACION DE ACTIVOS FIJOS,FALSE,asset_current,ec1010501
ec_sale_vat_outstanding_withholds,1.01.05.01.07,IVA PAGADO EN RETENCIONES DE LA FUENTE,FALSE,asset_current,ec1010501
ec_purchase_vat_zero,1.01.05.01.08,IVA EN COMPRAS 0%,FALSE,asset_current,ec1010501
ec1010502,1.01.05.02.,CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA ( I. R.),FALSE,view,ec10105
ec101050201,1.01.05.02.01,CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA ( I. R.),FALSE,asset_current,ec1010502
ec1010503,1.01.05.03.,ANTICIPO DE IMPUESTO A LA RENTA,FALSE,view,ec10105
ec101050301,1.01.05.03.01,ANTICIPO DE IMPUESTO A LA RENTA,TRUE,asset_receivable,ec1010503
ec10106,1.01.06.,ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA Y OPERACIONES DISCONTINUADAS,FALSE,view,ec101
